customer_id,city,signup_date,loyalty_tier,preferred_payment_method
CUST07527,Bangalore,2022-01-01,Silver,Credit Card
CUST06246,Bangalore,2022-01-01,Bronze,UPI
CUST05042,Bangalore,2022-01-01,Bronze,Credit Card
CUST06600,Bangalore,2022-01-01,Silver,UPI
CUST00559,Chennai,2022-01-01,Bronze,UPI
CUST05881,Pune,2022-01-01,Bronze,Credit Card
CUST04194,Chennai,2022-01-02,Gold,UPI
CUST07901,Bangalore,2022-01-02,Bronze,UPI
CUST07560,Ahmedabad,2022-01-02,Platinum,Credit Card
CUST00180,Mumbai,2022-01-02,Silver,UPI
CUST03653,Ahmedabad,2022-01-02,Bronze,UPI
CUST06462,Hyderabad,2022-01-02,Gold,UPI
CUST01082,Mumbai,2022-01-03,Bronze,Debit Card
CUST03957,Jaipur,2022-01-03,Bronze,Credit Card
CUST03682,Mumbai,2022-01-03,Gold,Wallet
CUST04282,Chennai,2022-01-03,Silver,Credit Card
CUST08282,Surat,2022-01-03,Bronze,UPI
CUST05737,Hyderabad,2022-01-03,Bronze,Credit Card
CUST04244,Delhi,2022-01-04,Bronze,UPI
CUST07205,Jaipur,2022-01-04,Bronze,UPI
CUST00522,Delhi,2022-01-04,Silver,Debit Card
CUST02025,Delhi,2022-01-04,Bronze,UPI
CUST05071,Bangalore,2022-01-05,Gold,UPI
CUST00303,Bangalore,2022-01-05,Bronze,Credit Card
CUST03891,Chennai,2022-01-06,Silver,Debit Card
CUST01146,Kolkata,2022-01-06,Silver,Credit Card
CUST04887,Delhi,2022-01-06,Bronze,UPI
CUST08596,Bangalore,2022-01-06,Gold,UPI
CUST03618,Ahmedabad,2022-01-06,Bronze,UPI
CUST01456,Jaipur,2022-01-06,Bronze,UPI
CUST00978,Mumbai,2022-01-06,Silver,Cash
CUST02771,Mumbai,2022-01-07,Silver,UPI
CUST00163,Hyderabad,2022-01-07,Bronze,Credit Card
CUST07921,Hyderabad,2022-01-07,Bronze,UPI
CUST09298,Ahmedabad,2022-01-07,Silver,UPI
CUST07085,Hyderabad,2022-01-08,Silver,UPI
CUST07911,Kolkata,2022-01-08,Bronze,Debit Card
CUST02811,Pune,2022-01-08,Bronze,UPI
CUST04352,Bangalore,2022-01-08,Bronze,UPI
CUST00421,Ahmedabad,2022-01-08,Bronze,UPI
CUST05111,Surat,2022-01-09,Silver,Credit Card
CUST08790,Hyderabad,2022-01-09,Bronze,Cash
CUST07334,Bangalore,2022-01-09,Gold,Wallet
CUST04773,Pune,2022-01-09,Bronze,UPI
CUST08475,Kolkata,2022-01-09,Gold,UPI
CUST09516,Mumbai,2022-01-09,Silver,Debit Card
CUST08101,Ahmedabad,2022-01-10,Bronze,UPI
CUST03419,Pune,2022-01-10,Gold,UPI
CUST04762,Surat,2022-01-10,Gold,UPI
CUST05502,Mumbai,2022-01-10,Silver,UPI
CUST05910,Mumbai,2022-01-10,Bronze,UPI
CUST04744,Surat,2022-01-10,Bronze,Debit Card
CUST05835,Ahmedabad,2022-01-11,Gold,UPI
CUST03180,Hyderabad,2022-01-11,Bronze,UPI
CUST01991,Chennai,2022-01-11,Bronze,Credit Card
CUST08233,Ahmedabad,2022-01-11,Silver,UPI
CUST05436,Chennai,2022-01-11,Bronze,UPI
CUST02602,Mumbai,2022-01-11,Bronze,Wallet
CUST09426,Chennai,2022-01-11,Bronze,Cash
CUST00610,Hyderabad,2022-01-12,Gold,Credit Card
CUST09695,Delhi,2022-01-12,Silver,UPI
CUST05266,Bangalore,2022-01-12,Bronze,UPI
CUST07093,Hyderabad,2022-01-12,Platinum,Cash
CUST09549,Bangalore,2022-01-12,Gold,UPI
CUST05768,Mumbai,2022-01-12,Silver,Cash
CUST00682,Pune,2022-01-13,Platinum,UPI
CUST01614,Delhi,2022-01-13,Platinum,Cash
CUST07233,Mumbai,2022-01-13,Silver,UPI
CUST05394,Bangalore,2022-01-13,Gold,Wallet
CUST05629,Bangalore,2022-01-14,Gold,Debit Card
CUST03244,Hyderabad,2022-01-14,Silver,Wallet
CUST08067,Bangalore,2022-01-14,Bronze,UPI
CUST09915,Delhi,2022-01-14,Bronze,Credit Card
CUST02677,Delhi,2022-01-14,Bronze,UPI
CUST05994,Bangalore,2022-01-14,Silver,Cash
CUST08570,Pune,2022-01-14,Bronze,UPI
CUST03014,Delhi,2022-01-14,Bronze,Debit Card
CUST06608,Bangalore,2022-01-14,Platinum,UPI
CUST03036,Pune,2022-01-14,Silver,Debit Card
CUST07107,Mumbai,2022-01-14,Silver,UPI
CUST00032,Mumbai,2022-01-14,Platinum,UPI
CUST03947,Hyderabad,2022-01-14,Bronze,Credit Card
CUST05775,Mumbai,2022-01-15,Platinum,Cash
CUST00231,Ahmedabad,2022-01-15,Bronze,Debit Card
CUST08068,Delhi,2022-01-15,Silver,UPI
CUST06263,Mumbai,2022-01-15,Gold,UPI
CUST05770,Kolkata,2022-01-15,Bronze,UPI
CUST07625,Bangalore,2022-01-16,Bronze,Credit Card
CUST01682,Surat,2022-01-16,Bronze,Debit Card
CUST01673,Kolkata,2022-01-16,Bronze,Credit Card
CUST04623,Mumbai,2022-01-16,Bronze,UPI
CUST05350,Hyderabad,2022-01-16,Silver,UPI
CUST03931,Jaipur,2022-01-17,Bronze,UPI
CUST02399,Hyderabad,2022-01-17,Bronze,Wallet
CUST00391,Surat,2022-01-17,Gold,UPI
CUST03693,Chennai,2022-01-17,Silver,UPI
CUST09975,Delhi,2022-01-17,Silver,UPI
CUST09254,Pune,2022-01-17,Bronze,UPI
CUST07550,Hyderabad,2022-01-17,Bronze,Debit Card
CUST09762,Mumbai,2022-01-17,Platinum,UPI
CUST01297,Mumbai,2022-01-17,Bronze,UPI
CUST06319,Hyderabad,2022-01-17,Bronze,Credit Card
CUST07808,Ahmedabad,2022-01-18,Silver,UPI
CUST03719,Delhi,2022-01-18,Bronze,UPI
CUST06253,Delhi,2022-01-18,Bronze,Wallet
CUST06030,Mumbai,2022-01-18,Gold,Cash
CUST06804,Delhi,2022-01-18,Silver,UPI
CUST04600,Pune,2022-01-18,Platinum,UPI
CUST05313,Jaipur,2022-01-19,Bronze,Debit Card
CUST06258,Hyderabad,2022-01-19,Bronze,UPI
CUST03022,Delhi,2022-01-19,Gold,UPI
CUST02631,Hyderabad,2022-01-19,Bronze,Cash
CUST04594,Pune,2022-01-19,Silver,Debit Card
CUST06392,Delhi,2022-01-19,Bronze,Cash
CUST06077,Delhi,2022-01-20,Bronze,Debit Card
CUST00432,Chennai,2022-01-20,Bronze,UPI
CUST04847,Jaipur,2022-01-20,Bronze,Cash
CUST01264,Delhi,2022-01-20,Bronze,Cash
CUST03955,Pune,2022-01-20,Platinum,UPI
CUST00367,Surat,2022-01-20,Gold,Wallet
CUST03692,Bangalore,2022-01-20,Bronze,UPI
CUST04919,Chennai,2022-01-20,Silver,Debit Card
CUST03495,Hyderabad,2022-01-20,Silver,Wallet
CUST03086,Hyderabad,2022-01-20,Bronze,UPI
CUST05954,Hyderabad,2022-01-20,Bronze,UPI
CUST00844,Surat,2022-01-21,Bronze,Wallet
CUST09945,Pune,2022-01-21,Bronze,Cash
CUST07806,Mumbai,2022-01-22,Bronze,UPI
CUST05862,Bangalore,2022-01-22,Platinum,UPI
CUST06245,Chennai,2022-01-22,Bronze,UPI
CUST08757,Pune,2022-01-22,Bronze,UPI
CUST05564,Pune,2022-01-22,Bronze,UPI
CUST03340,Hyderabad,2022-01-22,Bronze,UPI
CUST09398,Delhi,2022-01-22,Silver,UPI
CUST07671,Chennai,2022-01-23,Bronze,Credit Card
CUST05430,Chennai,2022-01-23,Bronze,Credit Card
CUST07221,Jaipur,2022-01-24,Bronze,UPI
CUST06665,Kolkata,2022-01-24,Bronze,UPI
CUST05002,Bangalore,2022-01-24,Silver,UPI
CUST02687,Mumbai,2022-01-24,Silver,UPI
CUST03851,Delhi,2022-01-24,Bronze,Credit Card
CUST04273,Mumbai,2022-01-24,Bronze,UPI
CUST07595,Mumbai,2022-01-24,Silver,Debit Card
CUST00150,Pune,2022-01-24,Bronze,Cash
CUST03040,Bangalore,2022-01-25,Gold,Cash
CUST07768,Delhi,2022-01-25,Silver,UPI
CUST03776,Jaipur,2022-01-25,Gold,UPI
CUST06031,Hyderabad,2022-01-25,Bronze,Credit Card
CUST04058,Mumbai,2022-01-25,Gold,UPI
CUST08540,Kolkata,2022-01-25,Silver,UPI
CUST07810,Mumbai,2022-01-25,Bronze,UPI
CUST06347,Pune,2022-01-26,Bronze,UPI
CUST04974,Hyderabad,2022-01-26,Bronze,UPI
CUST00920,Mumbai,2022-01-26,Bronze,UPI
CUST08251,Jaipur,2022-01-26,Bronze,UPI
CUST07088,Hyderabad,2022-01-26,Bronze,UPI
CUST03893,Hyderabad,2022-01-26,Bronze,Credit Card
CUST03205,Hyderabad,2022-01-26,Bronze,Debit Card
CUST03847,Surat,2022-01-26,Silver,UPI
CUST04456,Mumbai,2022-01-26,Bronze,UPI
CUST00796,Kolkata,2022-01-26,Bronze,Debit Card
CUST05185,Chennai,2022-01-27,Bronze,UPI
CUST04888,Hyderabad,2022-01-27,Bronze,UPI
CUST08679,Bangalore,2022-01-27,Silver,Wallet
CUST06519,Surat,2022-01-27,Silver,Cash
CUST08846,Chennai,2022-01-27,Gold,UPI
CUST05231,Hyderabad,2022-01-27,Bronze,Debit Card
CUST09698,Chennai,2022-01-28,Silver,UPI
CUST09359,Ahmedabad,2022-01-29,Bronze,Credit Card
CUST09721,Chennai,2022-01-29,Bronze,UPI
CUST04767,Ahmedabad,2022-01-29,Bronze,UPI
CUST00906,Kolkata,2022-01-29,Bronze,Wallet
CUST02655,Chennai,2022-01-29,Bronze,Debit Card
CUST03792,Mumbai,2022-01-29,Bronze,UPI
CUST01113,Pune,2022-01-29,Bronze,Credit Card
CUST08783,Pune,2022-01-29,Bronze,Credit Card
CUST06764,Pune,2022-01-29,Bronze,Cash
CUST01356,Kolkata,2022-01-29,Bronze,UPI
CUST08222,Mumbai,2022-01-30,Silver,UPI
CUST07713,Pune,2022-01-30,Gold,UPI
CUST08009,Hyderabad,2022-01-30,Silver,UPI
CUST06957,Bangalore,2022-01-31,Bronze,UPI
CUST06385,Delhi,2022-01-31,Gold,UPI
CUST01467,Surat,2022-01-31,Bronze,UPI
CUST00291,Mumbai,2022-01-31,Bronze,Debit Card
CUST06323,Bangalore,2022-01-31,Platinum,UPI
CUST01191,Mumbai,2022-02-01,Silver,UPI
CUST07367,Bangalore,2022-02-01,Silver,UPI
CUST02938,Bangalore,2022-02-01,Bronze,Debit Card
CUST05893,Bangalore,2022-02-01,Gold,UPI
CUST07598,Mumbai,2022-02-02,Bronze,Cash
CUST02832,Hyderabad,2022-02-02,Bronze,UPI
CUST03035,Pune,2022-02-02,Bronze,UPI
CUST08064,Mumbai,2022-02-02,Platinum,UPI
CUST03114,Mumbai,2022-02-02,Bronze,Cash
CUST01472,Chennai,2022-02-02,Bronze,UPI
CUST09724,Chennai,2022-02-02,Bronze,UPI
CUST08261,Mumbai,2022-02-02,Bronze,UPI
CUST02975,Delhi,2022-02-03,Platinum,Debit Card
CUST07978,Chennai,2022-02-03,Bronze,UPI
CUST02017,Delhi,2022-02-03,Bronze,Debit Card
CUST03648,Delhi,2022-02-03,Silver,UPI
CUST06604,Ahmedabad,2022-02-03,Platinum,Debit Card
CUST05714,Jaipur,2022-02-03,Gold,UPI
CUST02051,Delhi,2022-02-03,Bronze,Debit Card
CUST09664,Mumbai,2022-02-03,Bronze,Cash
CUST03041,Mumbai,2022-02-04,Bronze,Wallet
CUST05389,Bangalore,2022-02-04,Bronze,Credit Card
CUST03789,Mumbai,2022-02-04,Silver,UPI
CUST02468,Mumbai,2022-02-04,Bronze,Wallet
CUST08708,Bangalore,2022-02-05,Gold,Cash
CUST03046,Hyderabad,2022-02-05,Silver,UPI
CUST08633,Mumbai,2022-02-05,Silver,UPI
CUST00859,Bangalore,2022-02-05,Gold,Cash
CUST04771,Mumbai,2022-02-06,Gold,UPI
