order_id,item_id,quantity,item_price,line_total
ORD000001,ITEM00223,2,184,368
ORD000001,ITEM00226,3,76,228
ORD000002,ITEM00795,3,68,204
ORD000003,ITEM00267,1,185,185
ORD000003,ITEM00265,1,211,211
ORD000003,ITEM00270,1,187,187
ORD000003,ITEM00266,2,216,432
ORD000004,ITEM00944,3,77,231
ORD000005,ITEM00983,1,61,61
ORD000005,ITEM00982,2,299,598
ORD000006,ITEM00898,3,176,528
ORD000006,ITEM00899,2,89,178
ORD000007,ITEM01191,1,150,150
ORD000008,ITEM00073,2,94,188
ORD000008,ITEM00075,3,69,207
ORD000008,ITEM00074,1,139,139
ORD000009,ITEM00094,2,151,302
ORD000009,ITEM00095,2,174,348
ORD000009,ITEM00091,1,126,126
ORD000010,ITEM01085,2,162,324
ORD000010,ITEM01084,1,310,310
ORD000011,ITEM00084,1,312,312
ORD000012,ITEM01039,3,253,759
ORD000013,ITEM01156,3,185,555
ORD000013,ITEM01158,1,172,172
ORD000014,ITEM00102,3,271,813
ORD000014,ITEM00098,3,61,183
ORD000015,ITEM00398,2,256,512
ORD000015,ITEM00401,1,282,282
ORD000016,ITEM00294,3,190,570
ORD000016,ITEM00291,1,476,476
ORD000016,ITEM00289,1,122,122
ORD000017,ITEM00777,3,97,291
ORD000018,ITEM00270,1,187,187
ORD000018,ITEM00269,1,289,289
ORD000019,ITEM00588,1,59,59
ORD000019,ITEM00585,3,351,1053
ORD000019,ITEM00583,2,174,348
ORD000020,ITEM00133,2,318,636
ORD000020,ITEM00135,3,250,750
ORD000021,ITEM01074,2,147,294
ORD000021,ITEM01073,2,193,386
ORD000021,ITEM01071,2,130,260
ORD000021,ITEM01072,2,143,286
ORD000022,ITEM00928,2,83,166
ORD000022,ITEM00927,2,87,174
ORD000022,ITEM00926,2,60,120
ORD000023,ITEM00637,2,41,82
ORD000023,ITEM00638,3,285,855
ORD000023,ITEM00641,1,253,253
ORD000024,ITEM00759,2,104,208
