order_id,customer_id,restaurant_id,order_time,delivery_time,status,delivery_duration,payment_method,total_amount
ORD000001,CUST06034,REST0038,2025-11-21 14:53:00,2025-11-21 14:33:00,Preparing,20,Wallet,368
ORD000002,CUST08121,REST0133,2025-04-05 19:59:00,2025-04-05 19:37:00,Delivered,22,Wallet,228
ORD000003,CUST09233,REST0045,2025-09-07 14:54:00,2025-09-07 14:22:00,Preparing,32,Credit Card,204
ORD000004,CUST09989,REST0158,2024-01-17 13:46:00,2024-01-17 13:19:00,Delivered,27,Credit Card,185
ORD000005,CUST00857,REST0164,2024-12-26 15:27:00,2024-12-26 14:34:00,Preparing,53,UPI,211
ORD000006,CUST02314,REST0150,2025-03-14 15:05:00,2025-03-14 14:35:00,Delivered,30,UPI,187
ORD000007,CUST03974,REST0199,2024-10-17 20:25:00,2024-10-17 19:59:00,Preparing,26,Debit Card,432
ORD000008,CUST05713,REST0013,2025-09-23 22:05:00,2025-09-23 21:06:00,Cancelled,59,UPI,231
ORD000009,CUST01863,REST0016,2025-11-14 14:00:00,2025-11-14 13:26:00,Delivered,34,Credit Card,61
ORD000010,CUST06069,REST0181,2024-05-07 15:39:00,2024-05-07 14:50:00,Delivered,49,Cash,598
ORD000011,CUST09272,REST0014,2025-01-18 21:09:00,2025-01-18 20:32:00,Delivered,37,UPI,528
ORD000012,CUST00934,REST0174,2024-09-04 11:20:00,2024-09-04 10:58:00,Delivered,22,UPI,178
ORD000013,CUST05320,REST0193,2025-09-06 13:57:00,2025-09-06 13:10:00,Delivered,47,Wallet,150
ORD000014,CUST00146,REST0017,2025-08-14 15:11:00,2025-08-14 14:40:00,Delivered,31,UPI,188
ORD000015,CUST07799,REST0067,2024-04-11 20:35:00,2024-04-11 20:08:00,Delivered,27,Debit Card,207
ORD000016,CUST01577,REST0049,2024-11-26 13:52:00,2024-11-26 13:05:00,Delivered,47,Debit Card,139
ORD000017,CUST07308,REST0130,2025-12-25 19:49:00,2025-12-25 19:05:00,Delivered,44,Debit Card,302
ORD000018,CUST08839,REST0045,2024-09-02 19:46:00,2024-09-02 19:14:00,Delivered,32,UPI,348
ORD000019,CUST06060,REST0098,2025-11-06 11:34:00,2025-11-06 11:05:00,Delivered,29,Credit Card,126
ORD000020,CUST07047,REST0023,2025-04-15 21:36:00,2025-04-15 21:07:00,Delivered,29,Cash,324
